,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity,Avg_visibility,Avg_wind_speed,Max_wind_speed,PM10
226,25.2,34.0,22.0,67.0,6.9,3.1,5.4,71.33
227,25.3,30.4,20.8,57.0,6.9,3.9,7.6,63.24
228,28.0,35.0,22.4,45.0,6.9,3.1,5.4,80.9
229,28.0,36.0,23.2,48.0,6.9,3.0,5.4,52.97
230,27.4,34.8,22.4,49.0,6.9,2.4,3.5,94.31
231,28.1,35.6,20.6,25.0,6.9,1.9,3.5,112.87
232,28.6,37.2,21.6,28.0,6.9,2.8,5.4,117.85
233,28.3,36.1,21.2,28.0,6.9,2.4,5.4,115.52
234,29.2,35.4,22.1,30.0,6.9,2.8,5.4,96.81
235,28.6,35.8,22.5,34.0,6.9,2.8,5.4,108.74
236,28.9,36.3,21.9,40.0,6.9,3.1,3.5,103.27
237,29.4,35.6,23.5,39.0,6.9,3.9,5.4,106.14
238,28.6,35.5,22.5,49.0,6.9,3.0,5.4,81.29
239,30.1,36.0,24.5,39.0,6.9,3.5,5.4,103.36
240,29.4,36.5,24.4,43.0,8.5,3.5,3.5,88.21
241,29.3,37.0,24.0,31.0,6.9,1.9,3.5,105.05
242,28.8,36.5,23.2,36.0,6.9,4.1,7.6,104.14
243,29.0,35.6,22.6,38.0,6.9,3.9,5.4,104.16
244,28.9,35.6,23.5,53.0,6.9,4.1,5.4,82.71
245,26.6,35.7,23.0,65.0,6.9,4.3,7.6,53.56
246,26.9,35.2,21.7,60.0,6.3,4.4,5.4,80.09
247,27.5,37.0,22.6,53.0,6.9,4.8,7.6,42.03
248,28.7,37.0,22.5,47.0,6.9,1.3,3.5,121.81
249,29.1,35.6,24.0,48.0,6.9,3.0,5.4,97.25
250,26.8,35.6,20.5,48.0,6.9,3.9,9.4,79.21
251,27.6,35.1,22.3,49.0,6.9,3.3,7.6,79.82
252,28.2,34.2,23.3,51.0,6.9,2.8,3.5,86.55
253,27.3,36.6,21.0,55.0,6.3,3.1,7.6,74.7
254,26.9,37.0,20.8,59.0,6.9,2.8,3.5,55.42
255,26.0,33.2,22.5,67.0,6.9,3.1,7.6,56.42
256,28.1,33.0,23.7,60.0,6.9,2.0,5.4,74.89
257,27.1,33.8,22.5,63.0,6.9,5.0,7.6,70.19
258,27.1,35.0,21.8,58.0,6.3,6.9,18.3,50.06
259,26.2,35.5,19.4,67.0,6.9,4.3,7.6,47.27
260,26.8,33.7,20.2,61.0,6.9,4.8,9.4,67.37
261,26.1,35.1,19.9,70.0,6.9,4.6,7.6,50.16
262,27.6,34.0,21.9,67.0,8.5,4.3,7.6,61.32
263,26.2,33.3,21.0,75.0,6.9,6.1,9.4,67.45
264,23.1,33.1,20.0,84.0,6.3,5.0,7.6,44.54
265,24.9,31.2,20.8,74.0,6.9,6.3,9.4,38.24
266,26.1,31.5,20.8,69.0,6.9,4.4,5.4,60.23
267,26.4,32.1,21.8,70.0,6.9,6.3,9.4,59.74
268,25.7,32.4,22.0,70.0,6.9,6.3,7.6,57.36
269,23.9,31.2,22.0,71.0,6.9,7.4,9.4,33.1
270,25.0,29.6,21.5,67.0,6.9,7.4,9.4,72.68
271,23.4,29.6,21.1,77.0,6.9,8.1,14.8,81.4
272,24.2,27.5,20.7,78.0,6.9,7.2,9.4,84.58
273,25.8,29.7,22.0,66.0,6.9,7.4,11.1,93.93
274,25.1,31.2,21.5,67.0,6.9,7.0,9.4,111.46
275,23.4,29.0,20.0,76.0,6.9,5.2,9.4,90.29
276,24.2,28.0,21.0,83.0,6.9,5.7,7.6,88.15
277,24.6,29.0,20.8,75.0,6.9,7.8,9.4,114.13
278,23.8,29.4,20.6,77.0,6.9,8.9,14.8,87.56
279,24.2,29.0,20.4,71.0,7.4,11.9,18.3,97.61
280,23.6,29.5,20.4,73.0,7.4,10.9,14.8,110.49
