From Date,To Date,PM10,NO2,SO2,CO,Ozone
23-11-2019 00:00,24-11-2019 00:00,62.9,87.99,9.47,1.61,None
24-11-2019 00:00,25-11-2019 00:00,None,None,None,None,None
25-11-2019 00:00,26-11-2019 00:00,84.82,91.65,10.07,2.03,None
26-11-2019 00:00,27-11-2019 00:00,67.65,76.07,9.93,1.76,None
27-11-2019 00:00,28-11-2019 00:00,57.95,88.04,10.06,1.82,None
28-11-2019 00:00,29-11-2019 00:00,57.63,65.17,9.67,1.77,None
29-11-2019 00:00,30-11-2019 00:00,73.9,40.05,9.62,1.79,None
30-11-2019 00:00,01-12-2019 00:00,66.27,35.35,9.86,1.93,None
01-12-2019 00:00,02-12-2019 00:00,41.09,None,9.69,1.78,None
02-12-2019 00:00,03-12-2019 00:00,50.55,28.68,10.36,1.75,None
03-12-2019 00:00,04-12-2019 00:00,73.36,65.26,9.6,1.65,None
04-12-2019 00:00,05-12-2019 00:00,80.91,33.47,9.87,1.72,None
05-12-2019 00:00,06-12-2019 00:00,None,None,None,None,None
06-12-2019 00:00,07-12-2019 00:00,138.67,39.01,9.78,1.86,None
07-12-2019 00:00,08-12-2019 00:00,89.68,40.1,10.06,1.79,None
08-12-2019 00:00,09-12-2019 00:00,82.89,34.31,9.61,1.77,None
09-12-2019 00:00,10-12-2019 00:00,95.04,32.95,9.71,1.88,None
10-12-2019 00:00,11-12-2019 00:00,95.12,33.86,9.75,1.75,None
11-12-2019 00:00,12-12-2019 00:00,110.83,26.25,10.53,0.54,None
12-12-2019 00:00,13-12-2019 00:00,131.82,31.34,10.06,2.05,None
13-12-2019 00:00,14-12-2019 00:00,103.69,26.42,9.58,1.91,None
14-12-2019 00:00,15-12-2019 00:00,84.14,29.39,9.99,1.81,None
15-12-2019 00:00,16-12-2019 00:00,None,None,None,None,None
16-12-2019 00:00,17-12-2019 00:00,None,None,None,None,None
17-12-2019 00:00,18-12-2019 00:00,104.74,49.53,10.44,1.92,None
18-12-2019 00:00,19-12-2019 00:00,100.5,45.52,9.87,1.8,None
19-12-2019 00:00,20-12-2019 00:00,102.17,49.73,10.19,1.79,None
20-12-2019 00:00,21-12-2019 00:00,111.33,55.66,10.14,1.87,None
21-12-2019 00:00,22-12-2019 00:00,103.48,46.21,10.13,1.79,None
22-12-2019 00:00,23-12-2019 00:00,108.87,47.15,9.99,1.77,None
23-12-2019 00:00,24-12-2019 00:00,118.38,51.84,9.81,1.77,None
